TABLE 1 - MODELS SCOUTED
"Make","Model","Trim","MSRP","Freight+PDI+AC","Advertised","Dealer admin","OUT THE DOOR","Rate %","Rate source","Term mo","Down","Monthly","Dep %/yr","L/100km","Notes"
"Lexus","TX 350","Luxury (base pkg)","69855","2305","72160","2334","84373","2.9","QUOTED - Lexus on the Park finance worksheet 2026-09-02, 'special rate', 60 mo","60","15000","1243.47","8","11.5","Their worksheet totals $86,611 OTD: sell $73,258 (Lexus Canada 'from' price, freight already in) + $870 freight AGAIN + $2,334 dealer fees. About $2.7K above this row. Ask why freight is charged twice."
"Lexus","TX 350","Ultra Luxury","72608","2305","74913","2334","87484","2.9","QUOTED - same rate applies to all new TX 350","60","15000","1299.23","8","11.5","Ultra Luxury = +$2,753 over Luxury. Advertised $74,913 matches 4 live listings."
"Lexus","TX 350","Executive 7-Pass","80861","2305","83166","2334","96810","2.9","QUOTED - finance; lease worksheet showed 1.9%/48 with $4,200 off","60","15000","1466.39","8","11.5","Executive = +$11,006 over Luxury. Lease sheet: $939/mo, 24,000 km/yr, residual 42%."
"Lexus","TX 500h","F SPORT Performance 2","85400","2305","87705","2334","101939","5.5","PUBLISHED - Don Valley North Lexus, 60 mo (lease 5.9%/24, Lexus Canada 6.7%/48)","60","15000","1660.64","8","8.6","Only 2 new 500h in Ontario ($90,225 / $93,704 - both ABOVE the $87,705 sticker). 366 hp."
"Toyota","Grand Highlander","HYBRID XLE (2.5L NA)","56632","2030","58662","495","67043","6.99","ASSUMED = Toyota Canada published LEASE rate 6.99%/60; finance rate NOT obtained","60","15000","1030.26","8","6.8","Toyota Canada all-in FROM $58,661.92. The 10-year-hold pick. NOT the turbo."
"Toyota","Grand Highlander","HYBRID Limited (2.5L NA)","63967","2030","65997","495","75331","6.99","ASSUMED - see above","60","15000","1194.34","8","6.8","Toyota Canada all-in FROM $65,996.92."
"Toyota","Grand Highlander","Platinum HYBRID MAX (2.4 TURBO)","68227","2030","70257","495","80145","6.99","ASSUMED - see above","60","15000","1289.64","8","8.6","Toyota Canada all-in FROM $70,256.92. Turbo - reintroduces the failure modes you are avoiding."
"Toyota","Grand Highlander","XLE (gas 2.4T)","53232","2030","55262","495","63201","6.99","ASSUMED - see above","60","15000","954.2","8","9.5","Toyota Canada all-in FROM $55,261.92."
"Toyota","Highlander","HYBRID XLE (2.5L NA)","","","61687","495","70461","6.99","ASSUMED - finance rate not obtained","60","15000","1097.93","8","6.7","Factory-order listing price; official MSRP not pulled. Smaller 3rd row than Grand Highlander."
"Toyota","Highlander","HYBRID Limited (2.5L NA)","","","67067","495","76540","6.99","ASSUMED - finance rate not obtained","60","15000","1218.28","8","6.7","Factory-order listing price."
"Hyundai","Palisade Hybrid","Ultimate Calligraphy (2.5T hybrid), 2027","","","69099","495","78836","6.99","NOT OBTAINED - assumed 6.99%; ask Hamilton Hyundai","60","15000","1263.74","10","8.1","329 hp / 339 lb-ft. Brown Nappa interior: 2 confirmed in Ontario, both Hamilton Hyundai, ETA late Oct."
"Hyundai","Palisade Hybrid","Ultimate Calligraphy, 2026 (new, last year's MY)","","","66976","495","76437","6.99","NOT OBTAINED - assumed 6.99%","60","15000","1216.24","10","8.1","Silver, 25 km, listed at MSRP. $2,123 under the 2027."
"Hyundai","Palisade","Ultimate Calligraphy (gas 3.8 V6)","","","","495","","","not priced new in this scan","","15000","","10","11.9","Scouted USED only (Clutch). Oil-consumption + transmission risk at high km."
"Genesis","GV80","3.5T Prestige 7-Pass","","","96888","1540","111419","2.99","SEEN on a Genesis Yorkdale listing ('as low as 2.99%') - CPO car; CONFIRM for new","60","15000","1732.09","15","11.5","Lowest-km franchise 2026 observed; official MSRP not verified. WORST depreciation measured (15%/yr top trim)."
"Mitsubishi","Outlander PHEV","SEL","59823","0","55573","495","63552","6.99","NOT OBTAINED - assumed 6.99%","60","15000","961.16","18","3.2","MSRP printed on listing; $4,250 off. 72 km EV range; 8.6 L/100km once flat. 10yr/160,000km powertrain."
"Mitsubishi","Outlander PHEV","GT","63423","0","59173","495","67620","6.99","NOT OBTAINED - assumed 6.99%","60","15000","1041.69","18","3.2","$4,250 off MSRP. Best warranty in this set."
"Mitsubishi","Outlander PHEV","GT Premium","64523","0","60273","495","68863","6.99","NOT OBTAINED - assumed 6.99%","60","15000","1066.3","18","3.2","297 hp, massage seats, semi-aniline (black only)."
"Tesla","Model Y","Long Range AWD (new)","","","64990","0","73634","6.99","NOT OBTAINED - Tesla finance; assumed 6.99%","60","15000","1160.74","14","","Tesla configurator, gas-savings box UNCHECKED. 5 SEATS. FSD is $99/mo subscription only since 2026-02-14."
"Volvo","XC90","B6 Ultra","","","","495","","","scouted USED only","","15000","","11","10.4","4yr/80,000km warranty = 1.9 yr at your mileage. Highest maintenance here (~$1,248/yr)."
"Porsche","Macan","base 2.0T / S","","","","495","","","scouted USED only (Porsche Approved)","","15000","","11","11.2","9 service visits in 5 yr at your mileage; 5 seats."


TABLE 2 - LIVE INVENTORY (103 vehicles)
"Make","Model","Trim","Year","Asking","MSRP","MSRP source","Odometer km","Status","Seller","Link","Scan"
"Genesis","GV80","2.5T Advanced, Genesis Certified","2021","35995","64500","Genesis Canada 2021 launch MSRP, 2.5T Advanced","80911","franchise / 5 seats / green","Genesis Certified","https://www.autotrader.ca/offers/genesis-gv80-2-5t-advanced-genesis-certified-low-rates-gasoline-green-cat_ma51885gr200589va3473mt14075tr481240-a4632bb7-e40d-4445-9368-600c80d41b8e","Genesis scan 09-01"
"Genesis","GV80","2.5T Advanced AWD","2023","45689","64500","Genesis Canada 2021 launch MSRP, 2.5T Advanced","32216","unknown / 5 seats / grey","Ontario dealer","https://www.autotrader.ca/offers/genesis-gv80-2-5t-advanced-awd-gasoline-grey-cat_ma51885gr200589va3473mt14075tr481240-13012d96-e24b-4926-93a6-7734b9a202dc","Genesis scan 09-01"
"Genesis","GV80","3rd Row Seating","2022","47990","80000","Genesis Canada 2021 launch MSRP, 3.5T Advanced","60954","unknown / 7 seats / grey","Ontario dealer","https://www.autotrader.ca/offers/genesis-gv80-3rd-row-seating-gasoline-grey-cat_ma51885gr200589va3473mt14077tr481244-b4d1a918-4c24-41c8-a6a2-58e11b202aab","Genesis scan 09-01"
"Genesis","GV80","3.5T Prestige AWD 7P","2024","59888","85000","Genesis Canada 2021 launch MSRP, 3.5T Prestige (later MY higher)","40575","unknown / 7 seats / white","Ontario dealer","https://www.autotrader.ca/offers/genesis-gv80-3-5t-prestige-awd-7p-gasoline-white-cat_ma51885gr200589va3473mt14077tr481244-ee983f20-a6e7-4b50-9663-8c6e22a493ee","Genesis scan 09-01"
"Genesis","GV80","3.5T Advanced AWD 7P, black leather","2025","63021","80000","Genesis Canada 2021 launch MSRP, 3.5T Advanced","35549","unknown / 7 seats / black","Ontario dealer","https://www.autotrader.ca/offers/genesis-gv80-3-5t-advanced-awd-7-passenger-black-leather-gasoline-black-cat_ma51885gr200589va3473mt14077tr481244-3875468b-f4ac-461b-b4cc-e27776bb8047","Genesis scan 09-01"
"Genesis","GV80","3.5T Prestige AWD 7P Luxury","2024","64697","85000","Genesis Canada 2021 launch MSRP, 3.5T Prestige (later MY higher)","38752","unknown / 7 seats / white","Ontario dealer","https://www.autotrader.ca/offers/genesis-gv80-3-5t-prestige-awd-7p-luxury-vehicle-with-low-km-gasoline-white-cat_ma51885gr200589va3473mt14077tr481244-e3faadfa-e42d-4142-a181-9122531dbaf8","Genesis scan 09-01"
"Genesis","GV80","3.5T Prestige AWD 7P","2025","66900","85000","Genesis Canada 2021 launch MSRP, 3.5T Prestige (later MY higher)","29500","unknown / 7 seats / black","Ontario dealer","https://www.autotrader.ca/offers/genesis-gv80-3-5t-prestige-awd-7p-gasoline-black-cat_ma51885gr200589va3473mt14077tr481244-9e359716-e29a-4e59-bfa8-3dc0eedd24f1","Genesis scan 09-01"
"Genesis","GV80","3.5T Prestige AWD 5P, matte paint","2024","68888","85000","Genesis Canada 2021 launch MSRP, 3.5T Prestige (later MY higher)","12333","unknown / 5 seats / n/a","Ontario dealer","https://www.autotrader.ca/offers/genesis-gv80-3-5t-prestige-awd-5p-w-matte-paint-gasoline-cat_ma51885gr200589va3473mt14077tr481244-7bab91cb-14c0-46f8-aa49-e88f52fac617","Genesis scan 09-01"
"Genesis","GV80","3.5T Prestige AWD 7P Low Km","2025","76697","85000","Genesis Canada 2021 launch MSRP, 3.5T Prestige (later MY higher)","28033","unknown / 7 seats / white","Ontario dealer","https://www.autotrader.ca/offers/genesis-gv80-3-5t-prestige-awd-7p-low-km-premium-nappa-leathe-gasoline-white-cat_ma51885gr200589va3473mt14077tr481244-834b314f-7656-4235-a787-56ddb7012291","Genesis scan 09-01"
"Genesis","GV80","3.5T Advanced 7-seat","2025","78880","80000","Genesis Canada 2021 launch MSRP, 3.5T Advanced","8235","unknown / 7 seats / green","Ontario dealer","https://www.autotrader.ca/offers/genesis-gv80-3-5t-advanced-gasoline-green-cat_ma51885gr200589va3473mt14077tr481244-3a4ee43f-b6d4-489e-87c6-359802ce7d0f","Genesis scan 09-01"
"Genesis","GV80","3.5T Prestige Luxury AWD 7P","2025","84995","85000","Genesis Canada 2021 launch MSRP, 3.5T Prestige (later MY higher)","1300","independent / 7 seats / white / VERIFY BEFORE YOU GO","Manaf Auto Sales, Concord","https://www.autotrader.ca/offers/genesis-gv80-3-5t-prestige-luxury-awd-7-passengers-gasoline-white-cat_ma51885gr200589va3473mt14077tr481244-11e6cc7d-ab85-4f20-8421-4b67f50b4cf9","Genesis scan 09-01"
"Genesis","GV80","7-Passenger, top trim","2026","87995","80000","Genesis Canada 2021 launch MSRP, 3.5T Advanced","5161","franchise / 7 seats / silver","Genesis Brampton","https://www.autotrader.ca/offers/genesis-gv80-7-passenger-top-of-the-line-only-5k-gasoline-silver-cat_ma51885gr200589va3473mt14077tr481244-a93a3be7-28ac-4bbc-b830-eb8a1c581261","Genesis scan 09-01"
